Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level
13.2,78.5,74.2,0,3
8.5,95.7,67.3,1,4
6.6,56.6,36.7,0,1
4.7,82.8,74.6,0,4
14.1,45.7,59.1,1,1
19.1,84.3,59.9,0,2
17.4,124.6,60.1,0,3
11.4,57.7,72.8,0,0
5.1,90.3,50.1,0,3
17.4,83.5,72.5,0,4
5.1,70.3,72.4,1,0
15.2,41.6,53.6,1,1
7.4,66.6,71.6,0,1
11.5,83.1,68.2,1,2
19.4,59.4,99.9,1,3
3.2,45.5,54.5,1,0
3.9,87.8,60.1,0,3
19.5,65.4,66.9,0,1
16.1,78.6,64.3,1,0
10.7,62.9,32.3,1,4
10.4,82.8,59.2,1,1
4.0,69.7,79.7,1,0
14.5,100.2,43.3,1,0
12.0,81.3,68.2,1,1
10.2,101.7,54.4,0,2
5.1,73.1,46.6,0,1
11.1,85.4,60.6,0,4
14.6,83.5,77.3,0,4
14.0,65.6,56.7,0,1
10.2,45.3,64.3,1,4
16.0,64.2,72.7,1,0
14.5,81.4,81.6,0,0
10.2,61.0,95.2,1,1
12.8,61.0,77.7,1,0
6.8,82.1,76.6,0,2
15.0,71.7,77.5,1,3
12.9,98.3,55.5,1,4
10.6,47.3,93.6,1,0
13.0,45.3,58.0,0,4
2.3,61.3,71.9,1,3
18.5,31.1,84.3,1,4
6.6,49.2,89.7,0,2
11.3,89.3,67.5,1,2
16.7,28.4,81.8,1,3
10.0,98.4,74.0,0,2
2.8,88.6,84.2,1,0
2.0,101.0,76.0,1,3
10.2,45.7,61.7,0,3
10.4,80.4,73.0,1,0
5.6,65.5,70.3,1,1
6.5,79.0,79.1,0,1
14.9,91.0,48.6,1,1
13.0,61.0,97.9,0,3
15.0,101.1,81.4,1,4
7.2,51.9,65.1,0,1
2.4,97.1,62.4,1,4
3.1,60.7,73.0,1,0
11.3,109.5,47.8,1,3
3.1,76.2,63.2,1,4
10.6,51.1,39.4,0,0
11.5,82.0,64.0,0,2
18.2,85.2,63.2,1,4
8.7,48.7,76.6,1,1
7.1,52.4,68.6,0,2
-4.8,76.1,51.5,0,4
16.4,92.6,61.5,1,2
10.1,108.9,70.3,1,1
11.0,76.3,69.9,0,0
10.1,81.5,68.8,0,0
-1.0,79.5,63.7,1,1
5.0,62.8,53.9,0,1
10.5,78.3,57.4,1,2
6.9,22.1,71.2,0,0
13.3,89.0,86.7,1,4
5.8,53.0,62.3,0,0
9.4,57.8,72.5,1,2
10.6,67.2,70.2,0,3
0.1,36.6,63.1,0,4
10.2,69.9,69.9,1,2
7.2,69.7,61.6,0,0
1.0,67.0,71.1,0,4
6.7,67.2,76.3,0,2
9.4,47.4,62.4,0,0
8.7,58.1,57.9,1,3
9.6,53.2,74.9,1,0
8.6,58.6,64.8,0,4
10.4,103.9,101.7,1,1
14.1,44.9,71.7,0,0
14.1,101.6,62.4,1,1
6.0,81.2,39.0,1,4
9.8,84.1,30.2,0,3
2.8,33.5,63.5,0,3
6.6,61.9,72.0,1,1
16.6,48.4,77.1,0,3
3.8,82.6,56.9,0,4
16.6,67.7,62.7,1,4
6.1,35.5,52.1,1,2
13.5,78.8,60.9,1,4
12.6,88.0,61.9,0,0
8.5,84.9,70.7,0,1
6.6,84.4,78.2,0,0
6.3,83.7,70.3,1,0
3.4,94.7,79.2,1,1
14.8,86.6,67.2,1,0
2.6,76.4,71.9,0,0
17.9,63.4,49.1,0,1
6.2,78.9,57.8,1,3
8.0,43.0,54.1,0,0
9.7,59.8,65.7,1,1
11.6,99.3,82.9,1,2
2.8,73.7,87.3,0,0
15.2,85.3,49.7,0,1
15.4,70.5,84.8,0,2
12.3,69.2,58.8,0,0
12.7,117.6,62.5,0,1
3.1,67.1,72.2,1,4
9.3,80.6,69.4,0,2
9.0,40.4,93.8,0,1
16.1,56.8,57.6,1,2
15.5,71.9,71.3,1,4
11.9,37.7,44.5,1,1
12.3,78.1,44.1,1,3
13.8,55.5,80.3,0,1
14.6,106.4,59.5,0,1
10.5,94.4,55.7,1,0
6.8,74.8,67.7,0,0
15.9,12.2,82.7,1,4
7.5,80.9,74.7,1,3
9.1,88.9,89.2,1,1
8.2,77.1,100.1,1,3
7.6,55.1,55.9,0,3
23.3,88.0,60.9,1,1
12.4,93.5,62.1,1,1
8.7,80.9,63.2,0,2
1.8,61.0,71.2,0,4
0.9,64.2,70.8,0,0
-2.3,72.8,51.7,1,4
19.0,47.1,54.5,0,2
0.5,99.2,50.8,0,3
10.2,80.8,54.5,1,3
4.8,70.8,62.3,1,2
8.6,40.9,75.4,0,2
19.2,64.3,69.9,1,1
12.2,78.6,59.3,1,4
11.8,87.7,85.5,1,1
4.6,50.6,47.7,0,1
12.3,45.2,62.0,1,3
9.6,83.3,68.9,0,3
14.5,80.0,82.5,0,4
13.0,103.9,53.1,0,2
12.6,111.0,49.1,0,1
9.0,100.3,48.9,1,1
-2.6,54.8,62.9,1,3
12.9,83.6,62.0,0,1
16.0,107.6,72.4,0,0
9.1,64.8,73.4,1,0
4.3,56.3,88.5,0,3
4.8,75.0,61.2,0,1
10.5,44.1,80.1,0,3
14.4,95.2,71.6,1,2
12.6,68.4,102.6,1,4
15.8,97.9,50.4,1,2
5.8,29.2,71.1,0,3
3.4,44.4,54.5,1,3
15.5,51.4,59.1,1,1
11.7,50.7,83.2,0,1
1.6,49.1,54.9,0,4
12.3,81.9,74.9,0,3
3.7,82.1,76.8,0,0
4.0,112.2,80.0,0,3
3.9,52.6,70.6,1,0
8.3,109.5,27.4,0,4
3.6,102.5,54.3,0,1
11.8,64.4,68.9,0,4
14.8,30.6,65.4,1,3
15.3,77.0,72.1,1,4
7.0,66.6,72.0,1,0
17.6,77.6,80.7,1,1
6.5,96.6,75.0,0,2
4.2,71.3,71.1,1,0
17.6,102.7,60.7,1,0
11.7,41.9,88.2,0,2
21.0,81.0,24.2,1,3
4.9,78.6,79.4,1,2
6.1,52.8,87.5,1,0
7.3,97.9,53.0,1,3
5.7,66.1,70.9,1,4
11.6,100.1,77.8,1,3
10.0,100.0,91.7,0,4
9.8,84.9,51.8,1,3
3.8,80.5,69.1,1,3
11.4,82.6,65.7,0,1
15.5,83.3,76.9,1,4
-1.1,76.2,79.2,0,3
9.0,59.3,68.7,1,2
0.5,60.6,53.6,0,2
14.1,92.9,73.6,1,0
18.4,63.5,70.3,1,4
9.5,77.7,75.2,0,4
8.0,43.4,83.9,0,2
10.0,103.1,55.9,1,3
5.2,98.0,70.2,1,1
11.8,51.5,77.8,0,0
16.3,65.8,56.2,0,2
7.0,98.1,34.7,1,3
9.3,24.5,79.2,1,3
20.4,70.8,48.0,1,3
4.9,67.7,48.4,1,0
6.3,48.9,72.7,0,4
3.8,97.0,63.4,0,1
3.0,69.4,63.2,0,2
14.7,55.6,37.5,0,0
4.4,68.9,71.0,1,3
2.3,77.7,56.9,0,2
3.9,69.2,84.7,1,1
6.4,70.4,68.9,0,4
12.8,65.7,71.5,1,3
2.4,103.0,70.4,1,0
13.3,50.4,83.7,1,0
8.5,104.4,64.2,1,0
10.6,61.2,80.9,1,1
12.7,74.1,75.9,1,1
14.3,80.2,58.9,0,1
10.7,70.2,83.4,0,1
13.0,77.8,67.7,1,4
8.7,88.3,28.9,1,0
6.4,64.8,64.3,0,2
4.3,73.7,72.2,1,1
2.5,73.1,35.7,1,4
24.2,87.7,57.7,1,0
-0.3,56.4,56.1,0,2
8.2,69.4,59.4,0,4
7.3,73.9,69.1,1,2
10.8,49.6,39.1,1,2
17.9,46.0,46.6,0,4
11.3,71.0,31.9,0,4
15.9,135.3,52.5,1,3
3.9,98.1,79.7,1,3
11.8,77.6,75.9,1,3
14.6,51.7,56.8,0,3
11.9,58.0,65.6,1,0
16.4,93.8,68.5,0,1
3.1,66.5,51.4,0,1
19.0,63.3,63.9,1,0
11.5,35.6,48.9,1,2
5.2,78.0,72.8,1,4
12.3,85.1,61.0,0,3
13.1,61.9,87.1,0,4
6.0,108.6,64.1,1,0
9.3,57.1,78.5,0,2
-3.4,76.9,47.3,1,2
16.9,76.5,60.5,1,4
6.4,68.5,44.0,0,3
13.2,79.2,64.9,0,0
5.8,113.8,42.3,1,2
2.9,75.2,64.2,0,2
18.5,96.4,40.3,0,2
13.8,127.1,62.1,0,0
8.8,54.0,65.4,0,1
10.2,70.9,68.6,0,4
7.0,70.1,90.1,0,0
8.5,84.2,48.5,0,4
17.1,80.2,69.4,0,0
5.6,55.5,43.2,0,3
5.8,62.5,73.0,0,1
5.2,79.5,79.7,1,2
10.5,68.6,81.9,1,4
5.3,90.2,42.4,1,0
9.6,82.7,80.3,0,4
9.2,92.9,61.6,1,4
14.6,40.6,75.7,1,4
22.4,33.5,55.1,1,4
8.4,109.7,42.4,1,3
7.1,63.6,84.7,1,2
9.0,109.0,33.0,0,4
10.4,82.8,62.8,0,2
9.7,59.5,76.6,0,4
3.8,50.1,63.3,0,0
6.2,53.5,86.2,0,1
5.7,72.8,63.4,0,2
13.5,110.6,89.0,0,1
6.2,44.9,48.2,0,3
5.8,43.7,62.1,0,0
10.9,74.4,60.1,0,3
18.9,88.2,52.1,0,2
8.7,93.9,56.5,0,1
13.1,43.1,62.5,1,4
11.9,58.3,55.1,1,3
4.2,82.4,40.8,1,4
8.7,75.2,74.9,0,1
9.1,60.5,83.9,0,2
4.1,86.5,35.3,0,0
10.8,77.4,54.8,1,3
4.2,43.6,34.3,0,1
5.5,78.4,65.6,0,1
9.5,65.0,56.2,1,3
13.6,99.3,66.2,0,3
6.3,24.4,53.1,0,3
11.5,100.0,73.9,0,4
12.6,73.4,72.1,0,1
7.6,90.4,50.2,0,4
-0.5,90.2,75.6,0,0
23.6,55.4,73.0,0,4
19.0,78.2,65.4,0,2
11.3,82.3,79.8,1,1
10.5,103.9,73.7,1,0
13.8,47.9,51.1,1,4
14.2,100.3,77.7,1,0
14.9,52.9,67.6,1,0
13.1,92.2,42.1,1,4
7.5,77.4,45.3,0,0
6.4,60.4,78.2,1,3
5.9,63.3,70.9,1,3
4.7,69.6,69.5,1,4
7.7,73.2,68.4,1,2
19.9,83.9,84.2,0,3
13.7,50.2,84.9,0,4
13.0,68.3,32.4,0,0
9.9,150.0,70.8,1,3
5.2,84.9,69.0,0,2
5.6,95.8,67.4,1,3
5.7,90.6,69.6,1,2
12.2,100.8,75.0,1,4
13.5,76.4,70.7,0,0
10.5,78.8,52.4,1,4
0.2,66.0,52.8,0,4
5.7,102.6,68.7,1,2
8.5,79.6,45.5,0,0
12.6,69.2,56.8,1,3
12.8,83.5,57.0,1,2
16.9,47.5,61.2,0,1
12.3,80.1,52.6,1,3
8.8,83.6,82.7,1,2
2.7,41.8,61.0,0,1
10.8,33.4,57.4,1,3
7.7,57.2,67.7,1,1
10.0,63.6,81.9,0,1
12.7,91.5,61.9,1,4
11.6,59.8,49.3,0,0
16.4,76.7,91.7,1,4
0.2,65.3,69.7,0,3
16.5,56.1,59.2,1,4
17.4,63.8,56.9,1,0
12.0,60.6,69.3,0,0
2.8,66.8,51.6,0,0
10.6,111.4,61.1,0,3
3.6,95.3,61.1,0,1
9.1,88.1,56.1,1,0
4.1,76.3,57.7,0,4
5.7,44.0,68.7,1,3
8.1,75.6,74.0,1,4
7.7,80.5,54.9,0,4
8.1,106.4,69.2,0,0
5.3,58.6,94.3,0,2
1.1,66.5,79.0,1,3
5.0,71.3,57.3,1,0
9.5,69.6,80.0,0,2
10.5,94.7,70.0,1,2
12.6,59.9,57.8,1,2
6.5,75.8,54.2,0,2
14.6,75.7,54.1,1,4
10.8,90.3,70.1,0,4
7.3,82.2,72.6,0,2
7.1,87.9,50.6,0,0
4.8,57.7,68.2,1,4
12.3,57.6,47.4,1,0
11.7,74.8,64.2,1,4
9.7,57.3,69.5,1,3
2.6,61.6,60.2,1,2
13.4,62.3,54.9,0,1
8.1,65.0,75.5,1,1
14.1,94.7,64.8,1,0
14.7,98.0,59.5,0,0
10.2,73.4,60.6,0,3
6.0,72.5,77.5,1,0
0.6,54.3,40.4,1,4
15.4,44.8,44.5,0,0
7.1,61.4,68.3,0,3
11.0,95.0,68.4,0,1
7.1,110.5,59.0,0,0
14.0,70.9,64.1,1,3
16.6,104.9,53.1,1,4
13.6,83.7,98.9,0,1
11.5,94.1,61.4,1,4
7.1,82.4,69.2,0,2
11.2,116.4,61.4,1,4
8.8,64.7,73.4,1,4
10.6,78.6,31.7,1,1
4.0,111.1,56.4,0,2
13.0,56.8,71.0,0,3
11.4,65.4,37.6,0,0
2.8,86.2,67.4,1,0
14.0,33.7,45.8,0,3
1.9,80.8,87.6,1,2
3.6,93.2,64.0,1,2
11.8,70.3,46.4,0,4
14.9,78.3,64.7,1,1
12.1,96.8,81.2,1,4
12.9,70.4,49.1,0,1
11.2,79.7,71.6,1,1
14.1,55.5,56.5,1,1
6.3,56.8,70.3,0,4
17.3,68.9,54.0,0,3
4.8,50.8,83.6,1,4
3.9,61.7,39.9,0,0
4.1,56.9,67.1,0,1
12.8,81.6,33.5,1,4
5.1,101.7,73.9,0,2
0.7,61.8,77.3,1,0
13.2,53.6,50.5,1,1
9.8,107.2,94.4,1,3
13.1,81.5,42.5,0,0
12.1,66.4,66.9,0,2
11.5,85.4,54.2,1,0
13.6,79.9,60.3,0,0
14.7,49.5,73.8,1,3
8.9,81.1,69.2,1,0
16.1,87.1,79.6,0,1
3.6,88.9,26.1,0,1
10.0,65.8,43.0,1,0
8.1,72.1,54.7,0,3
1.6,55.3,80.0,0,2
15.6,129.2,48.5,0,2
10.9,91.3,83.5,0,0
13.0,48.7,66.1,0,2
4.7,82.8,103.0,0,4
11.6,63.5,55.4,1,0
6.1,78.2,90.5,0,4
16.6,74.1,72.1,1,4
11.2,49.0,89.4,1,2
16.0,108.6,43.5,0,2
4.4,63.5,37.6,0,4
13.3,93.7,90.8,1,2
7.9,56.2,58.9,1,4
9.4,63.4,88.4,0,3
10.0,36.7,79.5,1,4
10.5,54.2,57.0,1,3
8.4,64.1,41.5,0,2
10.4,62.3,65.2,0,2
13.2,74.1,75.2,1,4
10.7,74.4,59.1,0,0
5.7,113.4,80.1,0,0
10.4,84.0,80.2,1,0
12.0,47.7,87.6,1,2
9.0,100.1,63.7,1,2
11.2,79.8,34.6,1,4
9.3,57.2,58.5,1,2
5.4,67.2,62.1,1,4
17.7,78.3,56.5,1,1
6.4,67.5,64.7,0,2
11.5,70.2,69.9,1,3
3.3,61.1,68.2,0,3
13.1,79.0,54.7,1,2
4.3,89.0,61.5,1,2
2.1,60.4,84.9,1,1
4.5,94.9,54.5,0,0
28.0,92.1,60.6,1,3
16.2,66.0,52.6,1,2
12.4,68.5,56.3,1,1
9.8,57.9,69.7,1,4
11.3,73.5,59.7,1,3
13.0,65.0,62.7,1,0
11.9,73.6,47.5,1,2
17.8,81.0,45.4,1,1
6.3,57.6,59.5,0,1
6.0,76.4,34.6,0,2
9.1,52.8,59.1,0,1
10.9,76.4,70.6,0,1
8.1,65.4,44.9,1,2
1.1,50.0,72.5,0,2
18.8,107.8,72.9,0,4
8.5,74.7,59.4,0,2
8.9,58.1,65.3,0,2
3.5,63.6,74.0,0,3
12.2,70.5,74.3,1,0
15.9,105.0,61.8,0,4
11.8,75.3,58.0,0,2
10.0,69.9,84.8,0,1
7.9,78.0,75.7,1,4
14.8,60.5,67.2,1,4
11.9,87.8,69.4,1,2
10.1,46.5,24.3,1,2
11.5,56.9,77.8,1,3
13.1,75.4,38.5,1,2
13.7,61.1,62.2,0,1
6.7,98.9,68.8,1,2
14.3,87.2,66.2,1,3
7.6,53.5,42.2,0,0
6.2,101.1,52.1,0,1
4.0,61.7,71.8,1,4
8.0,64.5,68.5,1,4
9.8,68.8,30.0,0,2
7.7,56.1,91.7,1,4
13.6,32.1,20.8,0,2
9.7,77.5,54.5,1,0
19.8,86.6,70.1,1,4
14.8,67.0,46.7,1,2
6.0,87.4,33.5,0,3
9.5,72.1,65.3,1,4
7.4,41.2,51.0,1,2
10.5,69.4,67.6,1,1
14.9,87.9,61.5,0,0
9.5,41.6,53.1,1,1
11.7,62.1,65.4,1,2
16.2,45.5,69.7,1,3
17.9,52.8,53.7,0,3
9.8,116.8,86.5,0,4
19.1,56.9,69.5,0,1
16.5,46.6,84.9,0,3
8.8,74.3,67.1,1,0
14.1,58.2,71.8,1,2
8.7,71.9,52.2,0,0
8.3,59.1,54.5,0,4
12.2,124.1,45.7,1,0
1.3,5.5,86.8,0,4
16.3,65.5,65.3,1,1
0.9,76.4,46.6,0,0
17.0,100.7,43.0,1,4
4.0,116.3,77.7,0,3
7.4,56.8,64.5,0,2
15.7,59.5,45.7,1,0
5.9,122.9,69.7,1,1
12.3,57.3,49.2,1,1
16.8,61.8,42.8,0,2
10.4,75.8,72.2,1,4
-6.2,73.0,52.2,0,1
8.5,71.3,69.0,1,0
9.0,96.1,43.9,0,1
18.1,98.0,73.0,1,3
19.8,58.5,58.5,0,1
24.7,89.5,91.1,0,0
8.6,63.2,53.8,0,1
8.6,67.6,72.5,1,2
13.5,109.9,46.8,0,2
9.0,55.6,30.7,1,2
13.6,77.1,43.8,1,0
8.4,92.2,80.4,0,4
11.2,66.1,77.3,1,3
-0.8,68.8,67.5,1,1
7.2,89.2,82.8,1,4
12.0,29.6,72.1,1,4
7.2,99.1,44.0,0,0
8.9,111.1,56.9,1,0
6.3,61.6,48.4,1,4
6.8,85.7,51.7,1,4
21.7,116.7,66.9,0,4
6.6,78.9,81.4,0,2
9.7,69.2,87.5,0,4
0.2,58.3,57.0,0,1
10.1,67.0,79.3,1,3
16.8,66.4,45.6,0,1
12.1,74.3,75.0,1,2
9.7,101.6,71.3,1,2
7.2,85.6,57.8,1,1
2.9,84.8,76.7,1,1
8.5,73.1,75.7,0,3
16.0,85.9,56.7,0,1
13.5,57.4,108.5,0,3
12.3,67.5,47.5,0,1
21.5,109.3,78.5,0,4
9.1,112.3,68.4,0,0
3.3,93.5,76.8,1,1
13.4,49.9,41.6,1,2
15.4,71.0,75.5,1,1
7.4,35.2,76.9,1,0
12.4,87.3,63.6,0,3
11.9,103.9,60.2,0,0
8.7,52.5,37.0,1,3
5.5,73.0,58.1,1,3
20.3,80.3,81.5,0,2
-2.3,66.8,65.3,1,3
11.0,127.9,70.6,1,4
11.2,106.8,82.9,0,4
1.9,92.6,50.3,1,3
11.5,67.3,52.8,0,0
15.0,105.5,50.4,1,1
16.3,69.2,59.2,0,0
5.4,91.2,59.1,0,1
9.6,97.6,83.6,1,1
9.8,67.5,47.0,0,4
18.4,95.3,36.0,0,4
14.4,92.2,66.2,0,2
11.2,49.5,54.6,0,1
5.4,115.8,47.3,1,4
12.7,76.9,83.2,0,4
10.2,69.1,77.3,0,1
13.1,71.4,103.1,0,2
-0.6,124.6,77.0,1,2
13.3,75.9,73.2,0,0
10.3,59.1,53.6,0,2
1.8,68.1,61.4,0,0
13.5,72.9,65.3,1,1
14.1,76.0,73.6,0,0
6.7,108.1,47.8,0,4
10.8,106.4,65.1,0,2
5.4,85.0,59.6,0,2
7.9,89.0,46.2,0,2
11.4,104.4,82.6,1,4
9.6,45.6,58.2,0,0
10.7,86.0,48.6,0,0
6.9,88.2,62.8,1,4
15.5,70.9,41.8,1,2
18.5,56.5,33.4,0,3
